Enter the number of rows: Enter the number of columns: Enter the value of theta_dep: Enter the theta_max: Enter the value of Z: Enter the value of tau: Enter the value of saving freq:          41712102 function calls (41708736 primitive calls) in 18.166 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       84    0.000    0.000    0.000    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/transforms.py:2897(_interval_contains_close)
      223    0.000    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/transforms.py:1849(transform_affine)
       94    0.000    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/axes/_base.py:836(<dictcomp>)
  262/227    0.000    0.000    0.000    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/transforms.py:167(_invalidate_internal)
       54    0.000    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/backend_bases.py:766(__init__)
       91    0.000    0.000    0.003    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/transforms.py:1472(transform)
      215    0.000    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/cbook.py:909(get_siblings)
       20    0.000    0.000    0.000    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
       40    0.000    0.000    0.000    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/transforms.py:626(translated)
       67    0.000    0.000    0.002    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/font_manager.py:595(__init__)
       20    0.000    0.000    0.000    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
     2523    0.000    0.000    0.000    0.000 {built-in method builtins.id}
      360    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
      618    0.000    0.000    0.000    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/numpy/lib/function_base.py:348(iterable)
      504    0.000    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
      201    0.000    0.000    0.008    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/artist.py:1223(set)
      660    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
       19    0.000    0.000    0.022    0.001 <frozen importlib._bootstrap_external>:1007(get_code)
      227    0.000    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/transforms.py:158(invalidate)
       50    0.000    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/artist.py:1155(update_from)
      348    0.000    0.000    0.000    0.000 {built-in method builtins.any}
  159/101    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
    68/64    0.000    0.000    0.000    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/spines.py:339(get_spine_transform)
      147    0.000    0.000    0.000    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/lines.py:1197(_set_markercolor)
      247    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
      214    0.000    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/artist.py:103(_stale_axes_callback)
      294    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
       12    0.000    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/numpy/core/numeric.py:2330(within_tol)
      201    0.000    0.000    0.008    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/artist.py:147(<lambda>)
       88    0.000    0.000    0.002    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/transforms.py:813(from_extents)
  743/461    0.000    0.000    0.001    0.000 {built-in method builtins.hash}
     1526    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       12    0.000    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/ticker.py:708(_compute_offset)
       12    0.000    0.000    0.005    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/axis.py:1497(get_minorticklocs)
     1634    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      100    0.000    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/transforms.py:2348(__init__)
       49    0.000    0.000    0.000    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/lines.py:1138(set_linestyle)
       81    0.000    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/markers.py:257(_recache)
      320    0.000    0.000    0.000    0.000 /usr/lib/python3.11/copy.py:243(_keep_alive)
       14    0.000    0.000    0.002    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/axis.py:347(_apply_params)
       24    0.000    0.000    0.000    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/ticker.py:1904(scale_range)
      121    0.000    0.000    0.000    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/cbook.py:181(__init__)
       12    0.000    0.000    0.002    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/patches.py:530(_draw_paths_with_artist_properties)
    52/51    0.000    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/transforms.py:1777(__eq__)
       20    0.000    0.000    0.003    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/backends/backend_agg.py:187(draw_text)
    94/88    0.000    0.000    0.002    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/axes/_base.py:833(_unstale_viewLim)
       37    0.000    0.000    0.000    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/numpy/lib/stride_tricks.py:416(_broadcast_shape)
       33    0.000    0.000    0.003    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/font_manager.py:1233(findfont)
    31/12    0.000    0.000    0.035    0.003 <frozen importlib._bootstrap>:1165(_find_and_load)
      129    0.000    0.000    0.000    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/cbook.py:1324(is_math_text)
       12    0.000    0.000    0.004    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/axis.py:2514(get_tick_space)
       50    0.000    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/axis.py:508(update_position)
       24    0.000    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/transforms.py:463(transformed)
        2    0.000    0.000    0.000    0.000 {method 'clear' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
